object_id,class,split,object_path
bathtub_0107,bathtub,test,bathtub/test/bathtub_0107.off
bathtub_0108,bathtub,test,bathtub/test/bathtub_0108.off
bathtub_0109,bathtub,test,bathtub/test/bathtub_0109.off
bathtub_0110,bathtub,test,bathtub/test/bathtub_0110.off
bathtub_0111,bathtub,test,bathtub/test/bathtub_0111.off
bathtub_0112,bathtub,test,bathtub/test/bathtub_0112.off
bathtub_0113,bathtub,test,bathtub/test/bathtub_0113.off
bathtub_0114,bathtub,test,bathtub/test/bathtub_0114.off
bathtub_0115,bathtub,test,bathtub/test/bathtub_0115.off
bathtub_0116,bathtub,test,bathtub/test/bathtub_0116.off
bathtub_0117,bathtub,test,bathtub/test/bathtub_0117.off
bathtub_0118,bathtub,test,bathtub/test/bathtub_0118.off
bathtub_0119,bathtub,test,bathtub/test/bathtub_0119.off
bathtub_0120,bathtub,test,bathtub/test/bathtub_0120.off
bathtub_0121,bathtub,test,bathtub/test/bathtub_0121.off
bathtub_0122,bathtub,test,bathtub/test/bathtub_0122.off
bathtub_0123,bathtub,test,bathtub/test/bathtub_0123.off
bathtub_0124,bathtub,test,bathtub/test/bathtub_0124.off
bathtub_0125,bathtub,test,bathtub/test/bathtub_0125.off
bathtub_0126,bathtub,test,bathtub/test/bathtub_0126.off
bathtub_0127,bathtub,test,bathtub/test/bathtub_0127.off
bathtub_0128,bathtub,test,bathtub/test/bathtub_0128.off
bathtub_0129,bathtub,test,bathtub/test/bathtub_0129.off
bathtub_0130,bathtub,test,bathtub/test/bathtub_0130.off
bathtub_0131,bathtub,test,bathtub/test/bathtub_0131.off
bathtub_0132,bathtub,test,bathtub/test/bathtub_0132.off
bathtub_0133,bathtub,test,bathtub/test/bathtub_0133.off
bathtub_0134,bathtub,test,bathtub/test/bathtub_0134.off
bathtub_0135,bathtub,test,bathtub/test/bathtub_0135.off
bathtub_0136,bathtub,test,bathtub/test/bathtub_0136.off
bathtub_0137,bathtub,test,bathtub/test/bathtub_0137.off
bathtub_0138,bathtub,test,bathtub/test/bathtub_0138.off
bathtub_0139,bathtub,test,bathtub/test/bathtub_0139.off
bathtub_0140,bathtub,test,bathtub/test/bathtub_0140.off
bathtub_0141,bathtub,test,bathtub/test/bathtub_0141.off
bathtub_0142,bathtub,test,bathtub/test/bathtub_0142.off
bathtub_0143,bathtub,test,bathtub/test/bathtub_0143.off
bathtub_0144,bathtub,test,bathtub/test/bathtub_0144.off
bathtub_0145,bathtub,test,bathtub/test/bathtub_0145.off
bathtub_0146,bathtub,test,bathtub/test/bathtub_0146.off
bathtub_0147,bathtub,test,bathtub/test/bathtub_0147.off
bathtub_0148,bathtub,test,bathtub/test/bathtub_0148.off
bathtub_0149,bathtub,test,bathtub/test/bathtub_0149.off
bathtub_0150,bathtub,test,bathtub/test/bathtub_0150.off
bathtub_0151,bathtub,test,bathtub/test/bathtub_0151.off
bathtub_0152,bathtub,test,bathtub/test/bathtub_0152.off
bathtub_0153,bathtub,test,bathtub/test/bathtub_0153.off
bathtub_0154,bathtub,test,bathtub/test/bathtub_0154.off
bathtub_0155,bathtub,test,bathtub/test/bathtub_0155.off
bathtub_0156,bathtub,test,bathtub/test/bathtub_0156.off
bathtub_0001,bathtub,train,bathtub/train/bathtub_0001.off
bathtub_0002,bathtub,train,bathtub/train/bathtub_0002.off
bathtub_0003,bathtub,train,bathtub/train/bathtub_0003.off
bathtub_0004,bathtub,train,bathtub/train/bathtub_0004.off
bathtub_0005,bathtub,train,bathtub/train/bathtub_0005.off
bathtub_0006,bathtub,train,bathtub/train/bathtub_0006.off
bathtub_0007,bathtub,train,bathtub/train/bathtub_0007.off
bathtub_0008,bathtub,train,bathtub/train/bathtub_0008.off
bathtub_0009,bathtub,train,bathtub/train/bathtub_0009.off
bathtub_0010,bathtub,train,bathtub/train/bathtub_0010.off
bathtub_0011,bathtub,train,bathtub/train/bathtub_0011.off
bathtub_0012,bathtub,train,bathtub/train/bathtub_0012.off
bathtub_0013,bathtub,train,bathtub/train/bathtub_0013.off
bathtub_0014,bathtub,train,bathtub/train/bathtub_0014.off
bathtub_0015,bathtub,train,bathtub/train/bathtub_0015.off
bathtub_0016,bathtub,train,bathtub/train/bathtub_0016.off
bathtub_0017,bathtub,train,bathtub/train/bathtub_0017.off
bathtub_0018,bathtub,train,bathtub/train/bathtub_0018.off
bathtub_0019,bathtub,train,bathtub/train/bathtub_0019.off
bathtub_0020,bathtub,train,bathtub/train/bathtub_0020.off
bathtub_0021,bathtub,train,bathtub/train/bathtub_0021.off
bathtub_0022,bathtub,train,bathtub/train/bathtub_0022.off
bathtub_0023,bathtub,train,bathtub/train/bathtub_0023.off
bathtub_0024,bathtub,train,bathtub/train/bathtub_0024.off
bathtub_0025,bathtub,train,bathtub/train/bathtub_0025.off
bathtub_0026,bathtub,train,bathtub/train/bathtub_0026.off
bathtub_0027,bathtub,train,bathtub/train/bathtub_0027.off
bathtub_0028,bathtub,train,bathtub/train/bathtub_0028.off
bathtub_0029,bathtub,train,bathtub/train/bathtub_0029.off
bathtub_0030,bathtub,train,bathtub/train/bathtub_0030.off
bathtub_0031,bathtub,train,bathtub/train/bathtub_0031.off
bathtub_0032,bathtub,train,bathtub/train/bathtub_0032.off
bathtub_0033,bathtub,train,bathtub/train/bathtub_0033.off
bathtub_0034,bathtub,train,bathtub/train/bathtub_0034.off
bathtub_0035,bathtub,train,bathtub/train/bathtub_0035.off
bathtub_0036,bathtub,train,bathtub/train/bathtub_0036.off
bathtub_0037,bathtub,train,bathtub/train/bathtub_0037.off
bathtub_0038,bathtub,train,bathtub/train/bathtub_0038.off
bathtub_0039,bathtub,train,bathtub/train/bathtub_0039.off
bathtub_0040,bathtub,train,bathtub/train/bathtub_0040.off
bathtub_0041,bathtub,train,bathtub/train/bathtub_0041.off
bathtub_0042,bathtub,train,bathtub/train/bathtub_0042.off
bathtub_0043,bathtub,train,bathtub/train/bathtub_0043.off
bathtub_0044,bathtub,train,bathtub/train/bathtub_0044.off
bathtub_0045,bathtub,train,bathtub/train/bathtub_0045.off
bathtub_0046,bathtub,train,bathtub/train/bathtub_0046.off
bathtub_0047,bathtub,train,bathtub/train/bathtub_0047.off
bathtub_0048,bathtub,train,bathtub/train/bathtub_0048.off
bathtub_0049,bathtub,train,bathtub/train/bathtub_0049.off
bathtub_0050,bathtub,train,bathtub/train/bathtub_0050.off
bathtub_0051,bathtub,train,bathtub/train/bathtub_0051.off
bathtub_0052,bathtub,train,bathtub/train/bathtub_0052.off
bathtub_0053,bathtub,train,bathtub/train/bathtub_0053.off
bathtub_0054,bathtub,train,bathtub/train/bathtub_0054.off
bathtub_0055,bathtub,train,bathtub/train/bathtub_0055.off
bathtub_0056,bathtub,train,bathtub/train/bathtub_0056.off
bathtub_0057,bathtub,train,bathtub/train/bathtub_0057.off
bathtub_0058,bathtub,train,bathtub/train/bathtub_0058.off
bathtub_0059,bathtub,train,bathtub/train/bathtub_0059.off
bathtub_0060,bathtub,train,bathtub/train/bathtub_0060.off
bathtub_0061,bathtub,train,bathtub/train/bathtub_0061.off
bathtub_0062,bathtub,train,bathtub/train/bathtub_0062.off
bathtub_0063,bathtub,train,bathtub/train/bathtub_0063.off
bathtub_0064,bathtub,train,bathtub/train/bathtub_0064.off
bathtub_0065,bathtub,train,bathtub/train/bathtub_0065.off
bathtub_0066,bathtub,train,bathtub/train/bathtub_0066.off
bathtub_0067,bathtub,train,bathtub/train/bathtub_0067.off
bathtub_0068,bathtub,train,bathtub/train/bathtub_0068.off
bathtub_0069,bathtub,train,bathtub/train/bathtub_0069.off
bathtub_0070,bathtub,train,bathtub/train/bathtub_0070.off
bathtub_0071,bathtub,train,bathtub/train/bathtub_0071.off
bathtub_0072,bathtub,train,bathtub/train/bathtub_0072.off
bathtub_0073,bathtub,train,bathtub/train/bathtub_0073.off
bathtub_0074,bathtub,train,bathtub/train/bathtub_0074.off
bathtub_0075,bathtub,train,bathtub/train/bathtub_0075.off
bathtub_0076,bathtub,train,bathtub/train/bathtub_0076.off
bathtub_0077,bathtub,train,bathtub/train/bathtub_0077.off
bathtub_0078,bathtub,train,bathtub/train/bathtub_0078.off
bathtub_0079,bathtub,train,bathtub/train/bathtub_0079.off
bathtub_0080,bathtub,train,bathtub/train/bathtub_0080.off
bathtub_0081,bathtub,train,bathtub/train/bathtub_0081.off
bathtub_0082,bathtub,train,bathtub/train/bathtub_0082.off
bathtub_0083,bathtub,train,bathtub/train/bathtub_0083.off
bathtub_0084,bathtub,train,bathtub/train/bathtub_0084.off
bathtub_0085,bathtub,train,bathtub/train/bathtub_0085.off
bathtub_0086,bathtub,train,bathtub/train/bathtub_0086.off
bathtub_0087,bathtub,train,bathtub/train/bathtub_0087.off
bathtub_0088,bathtub,train,bathtub/train/bathtub_0088.off
bathtub_0089,bathtub,train,bathtub/train/bathtub_0089.off
bathtub_0090,bathtub,train,bathtub/train/bathtub_0090.off
bathtub_0091,bathtub,train,bathtub/train/bathtub_0091.off
bathtub_0092,bathtub,train,bathtub/train/bathtub_0092.off
bathtub_0093,bathtub,train,bathtub/train/bathtub_0093.off
bathtub_0094,bathtub,train,bathtub/train/bathtub_0094.off
bathtub_0095,bathtub,train,bathtub/train/bathtub_0095.off
bathtub_0096,bathtub,train,bathtub/train/bathtub_0096.off
bathtub_0097,bathtub,train,bathtub/train/bathtub_0097.off
bathtub_0098,bathtub,train,bathtub/train/bathtub_0098.off
bathtub_0099,bathtub,train,bathtub/train/bathtub_0099.off
bathtub_0100,bathtub,train,bathtub/train/bathtub_0100.off
bathtub_0101,bathtub,train,bathtub/train/bathtub_0101.off
bathtub_0102,bathtub,train,bathtub/train/bathtub_0102.off
bathtub_0103,bathtub,train,bathtub/train/bathtub_0103.off
bathtub_0104,bathtub,train,bathtub/train/bathtub_0104.off
bathtub_0105,bathtub,train,bathtub/train/bathtub_0105.off
bathtub_0106,bathtub,train,bathtub/train/bathtub_0106.off
bed_0516,bed,test,bed/test/bed_0516.off
bed_0517,bed,test,bed/test/bed_0517.off
bed_0518,bed,test,bed/test/bed_0518.off
bed_0519,bed,test,bed/test/bed_0519.off
bed_0520,bed,test,bed/test/bed_0520.off
